state,pollster,office_type,start_date,end_date,answer,candidate_id,candidate_name,candidate_party,pct
North Carolina,Ipsos,U.S. President,10/14/20,10/20/20,West,14699,Kanye West,IND,0
,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/14/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/14/20,10/20/20,Trump,13254,Donald Trump,REP,46
Florida,Ipsos,U.S. President,10/14/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Florida,Ipsos,U.S. President,10/14/20,10/20/20,Trump,13254,Donald Trump,REP,46
Florida,Ipsos,U.S. President,10/14/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Florida,Ipsos,U.S. President,10/14/20,10/20/20,Trump,13254,Donald Trump,REP,46
Florida,Ipsos,U.S. President,10/14/20,10/20/20,Jorgensen,14611,Jo Jorgensen,LIB,1
Florida,Ipsos,U.S. President,10/14/20,10/20/20,West,14699,Kanye West,IND,1
Florida,Ipsos,U.S. President,10/14/20,10/20/20,Hawkins,14612,Howie Hawkins,GRE,0
Wisconsin,RMG Research,U.S. President,10/14/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Wisconsin,RMG Research,U.S. President,10/14/20,10/20/20,Trump,13254,Donald Trump,REP,44
Pennsylvania,Muhlenberg College,U.S. President,10/13/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Pennsylvania,Muhlenberg College,U.S. President,10/13/20,10/20/20,Trump,13254,Donald Trump,REP,44
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Trump,13254,Donald Trump,REP,44
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Jorgensen,14611,Jo Jorgensen,LIB,2
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Hawkins,14612,Howie Hawkins,GRE,1
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Trump,13254,Donald Trump,REP,45
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Jorgensen,14611,Jo Jorgensen,LIB,2
Texas,University of Texas at Tyler,U.S. President,10/13/20,10/20/20,Hawkins,14612,Howie Hawkins,GRE,1
Texas,YouGov,U.S. President,10/13/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,44.7
Texas,YouGov,U.S. President,10/13/20,10/20/20,Trump,13254,Donald Trump,REP,50
Texas,YouGov,U.S. President,10/13/20,10/20/20,Jorgensen,14611,Jo Jorgensen,LIB,2.4
Texas,YouGov,U.S. President,10/13/20,10/20/20,Hawkins,14612,Howie Hawkins,GRE,0.3
Arizona,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Arizona,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,48
Colorado,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Colorado,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,39
Florida,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Florida,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,45
Georgia,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Georgia,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,48
Michigan,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Michigan,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,44
Minnesota,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Minnesota,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,42
North Carolina,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
North Carolina,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,47
Ohio,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Ohio,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,49
Pennsylvania,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Pennsylvania,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,43
South Carolina,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
South Carolina,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,51
Texas,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Texas,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,47
Wisconsin,Morning Consult,U.S. President,10/11/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,54
Wisconsin,Morning Consult,U.S. President,10/11/20,10/20/20,Trump,13254,Donald Trump,REP,42
,USC Dornsife/Los Angeles Times,U.S. President,10/7/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52.06
,USC Dornsife/Los Angeles Times,U.S. President,10/7/20,10/20/20,Trump,13254,Donald Trump,REP,41.45
,USC Dornsife/Los Angeles Times,U.S. President,10/7/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,54.05
,USC Dornsife/Los Angeles Times,U.S. President,10/7/20,10/20/20,Trump,13254,Donald Trump,REP,41.31
,USC Dornsife/Los Angeles Times,U.S. President,10/7/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,53.29
,USC Dornsife/Los Angeles Times,U.S. President,10/7/20,10/20/20,Trump,13254,Donald Trump,REP,42.09
Wyoming,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,32
Wyoming,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,66
Wyoming,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,32
Wyoming,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,67
West Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,32
West Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,66
West Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,32
West Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,67
Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,42
Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Virginia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,43
Utah,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Utah,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,52
Utah,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Utah,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,52
Texas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
Texas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,49
Texas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Texas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,51
South Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
South Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,51
South Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
South Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,53
Rhode Island,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,68
Rhode Island,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,30
Rhode Island,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,68
Rhode Island,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,31
Oregon,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,60
Oregon,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,39
Oregon,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
Oregon,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,38
Oklahoma,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,42
Oklahoma,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,57
Oklahoma,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,40
Oklahoma,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,58
Nevada,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Nevada,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,46
Nevada,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Nevada,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,48
New Mexico,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
New Mexico,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,45
New Mexico,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
New Mexico,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,45
New Jersey,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
New Jersey,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,35
New Jersey,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
New Jersey,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,36
New Hampshire,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,57
New Hampshire,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,41
New Hampshire,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,57
New Hampshire,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,42
Nebraska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Nebraska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,52
Nebraska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Nebraska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,53
North Dakota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,40
North Dakota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,59
North Dakota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,39
North Dakota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,60
North Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
North Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,45
North Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
North Carolina,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,47
Montana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Montana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,52
Montana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Montana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,53
Mississippi,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,44
Mississippi,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,54
Mississippi,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,38
Mississippi,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,61
Missouri,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Missouri,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,52
Missouri,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Missouri,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,53
Minnesota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Minnesota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,43
Minnesota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Minnesota,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,42
Michigan,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
Michigan,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,44
Michigan,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
Michigan,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,45
Maine,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Maine,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,43
Maine,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Maine,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,43
Massachusetts,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,69
Massachusetts,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,28
Massachusetts,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,70
Massachusetts,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,28
Louisiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Louisiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,54
Louisiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,39
Louisiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,59
Kentucky,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Kentucky,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,57
Kentucky,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Kentucky,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,57
Kansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Kansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,51
Kansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Kansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,51
Indiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,44
Indiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,54
Indiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Indiana,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,55
Illinois,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,58
Illinois,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,39
Illinois,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,58
Illinois,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,40
Idaho,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,40
Idaho,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,57
Idaho,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Idaho,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,57
Iowa,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
Iowa,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,49
Iowa,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
Iowa,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,50
Hawaii,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,64
Hawaii,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,33
Hawaii,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,66
Hawaii,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,32
Georgia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Georgia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,46
Georgia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Georgia,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,49
Delaware,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,64
Delaware,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,34
Delaware,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,63
Delaware,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,35
Connecticut,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
Connecticut,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,35
Connecticut,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,62
Connecticut,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,36
California,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,62
California,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,35
California,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,62
California,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,36
Arkansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,42
Arkansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,56
Arkansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,40
Arkansas,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,58
Alabama,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Alabama,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,56
Alabama,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,38
Alabama,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,60
Alaska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Alaska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,52
Alaska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Alaska,SurveyMonkey,U.S. President,9/23/20,10/20/20,Trump,13254,Donald Trump,REP,53
Wisconsin,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Wisconsin,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,42
Wisconsin,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Wisconsin,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,43
Washington,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
Washington,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,37
Washington,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,62
Washington,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,37
Vermont,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,65
Vermont,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,32
Vermont,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,66
Vermont,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,32
Tennessee,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Tennessee,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,55
Tennessee,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Tennessee,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,57
South Dakota,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
South Dakota,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,53
South Dakota,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
South Dakota,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,53
Pennsylvania,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Pennsylvania,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,45
Pennsylvania,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Pennsylvania,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,46
Ohio,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Ohio,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,50
Ohio,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Ohio,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,51
New York,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,65
New York,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,32
New York,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,65
New York,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,33
Maryland,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,67
Maryland,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,30
Maryland,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,67
Maryland,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,32
Florida,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Florida,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,48
Florida,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
Florida,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,49
District of Columbia,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,86
District of Columbia,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,11
District of Columbia,SurveyMonkey,U.S. President,9/22/20,10/20/20,Biden,13256,Joseph R. Biden Jr.,DEM,88
District of Columbia,SurveyMonkey,U.S. President,9/22/20,10/20/20,Trump,13254,Donald Trump,REP,10
